Experiment,Accuracy_Mean,Accuracy_Std,Precision_Mean,Precision_Std,Recall_Mean,Recall_Std,F1_Mean,F1_Std,AUC_Mean,AUC_Std,Time_Seconds
pretrained_resnet34,0.9877669239801966,0.0031089353791186936,0.9907457734514704,0.0012778232436229631,0.992788148973716,0.0030071266214258276,0.9917649934176419,0.0021031200430098474,0.999069309877956,0.0005932312995053272,2243.6309094429016
pretrained_resnet18,0.9871936754562339,0.004784509900629462,0.9933027141287182,0.005137363474445973,0.9894416139261499,0.0036757196411452706,0.9913586686607705,0.0032132664258080323,0.9991494477899835,0.0005155841847101847,1849.0369658470154
pretrained_densenet121,0.9868105357928781,0.0037004613687657076,0.9907432868456262,0.0030620610116560243,0.9915004842839895,0.0035134436214210017,0.9911170745732427,0.002496413624179691,0.9988935116860551,0.0004971122439172002,2282.904956102371
pretrained_efficientnet_b0,0.9848999508748477,0.005717978299912588,0.9912277055474809,0.0033858262117292337,0.9884100226883732,0.006258517576905154,0.9898063881414345,0.003877781848828243,0.997911350299443,0.0014537588336939306,1982.6510887145996
batch_norm_False,0.9724780443441245,0.006374047532168801,0.9827682470547698,0.007966566246166089,0.9801708925420266,0.0026441232442200547,0.9814499858674643,0.004219670638450295,0.9966497251440212,0.001190520017053926,2017.2499005794525
activation_gelu,0.9426599900288725,0.0029089568488459157,0.9615253115564453,0.013580470477843217,0.9616231474478896,0.014868095075253118,0.9613668346215652,0.002137558634295918,0.9287951537967827,0.013686311134836726,3343.144664287567
activation_relu,0.9321497641444827,0.009294103980722262,0.9551518675445576,0.012208447543761889,0.9536467247807454,0.01569241893380188,0.9542331900540214,0.006465286574802677,0.9148925365977674,0.0160719564127029,2712.5190534591675
activation_elu,0.931382389089468,0.01966601193750592,0.958615951268443,0.01733581870518198,0.9487508126683384,0.01660186730961768,0.9535407686403458,0.013225216429955963,0.9176833248922348,0.0269542334021634,2790.574446439743
activation_mish,0.9300457831809357,0.008644967583727993,0.9666609669120932,0.00934234955478979,0.938194748504027,0.00735339851873648,0.9521773724798237,0.005829536873977568,0.9270171855074256,0.014884833358415056,2063.9605700969696
optimizer_adam,0.9231618701160194,0.008328659840000445,0.9589465105458783,0.004613077823046736,0.9366440446337354,0.014787131922427265,0.9475732215013632,0.0061075318063676795,0.9129842441035259,0.004656422239528224,2283.282816886902
architecture_deep,0.8973837660547025,0.0779035689484797,0.9149428109192307,0.08749202463434601,0.9649713410022688,0.02036768718532964,0.9360012298309289,0.04221425869940328,0.8373051157925294,0.16919175763455863,2302.478410959244
architecture_very_deep,0.9053924442228638,0.013223094685145051,0.9482248341933917,0.02508325092558151,0.9240244662925076,0.015295006629267317,0.935576947323864,0.008055577547751309,0.898265308702479,0.033307694645587624,1935.512943983078
optimizer_sgd,0.9044249161311294,0.03483700025821958,0.9435428028892865,0.021034746853604153,0.926608419907389,0.02976417971007558,0.9349054866256532,0.024205013230037736,0.9006513953551474,0.034667697349796855,2716.2001996040344
activation_leaky_relu,0.8950593610808264,0.077595669273021,0.913639321362874,0.08726018488375076,0.9631728562140933,0.023615523693520466,0.9344268752230056,0.042182544189152286,0.8324957198238986,0.16830095493972672,2082.9481987953186
batch_norm_True,0.8918013955926154,0.07637514571288644,0.9173799154604889,0.08883904038591132,0.9544199206570341,0.02835629047677804,0.931862005132243,0.04127539566017999,0.8353005680750509,0.16873772036530368,2773.483136177063
optimizer_adamw,0.8780790421873659,0.06985261145985516,0.9082092707819536,0.08358700285843883,0.9446314134458463,0.031174636429722027,0.9224982984320051,0.03696506695922587,0.8197195634917118,0.16104681083671935,2007.8476583957672
dropout_0.25,0.8664051528449672,0.10153274198331899,0.8728963748018375,0.10686648743090993,0.9832550518117529,0.01429667634196352,0.9204202732259468,0.05596514752811961,0.7595735389292091,0.21224880370242322,2024.3212716579437
architecture_medium,0.8610563551328478,0.09793433754422481,0.8789541094336402,0.11196925947505633,0.9693640621475673,0.030196455071913045,0.9163491699803898,0.0532838967331102,0.7602281432267285,0.21266192417753146,2441.241572380066
dropout_0.5,0.8413668480097009,0.08130276322038847,0.8661989079345622,0.10217037644061926,0.9554518435961736,0.037451091176698065,0.9029822932123901,0.04182981030845724,0.7389627279847677,0.1959844010147985,1396.7591760158539
dropout_0.0,0.7862896996060857,0.08823120338366897,0.7911010339121695,0.09785380364949135,0.9925353925353925,0.014929214929214929,0.8765259884657286,0.04903396549603086,0.5929214929214929,0.18584298584298586,1449.551747083664
dropout_0.7,0.7821162531205429,0.05884593725733127,0.7944644368921177,0.08655882392595447,0.9773202510315911,0.044083770078518825,0.8714970893147657,0.028536376347400562,0.602223972254041,0.15475663153884653,1523.0329053401947
architecture_shallow,0.5891013384321224,0.28083714073676436,0.48887044101536914,0.4070467793719329,0.5935567010309278,0.48477976982456855,0.5335682726735985,0.4375776198132854,0.587016513936617,0.17403302787323405,1396.9198575019836
